ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Swim Event,Medal,Last_Name,Order,Start,End
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,,BEAUREPAIRE,571,1908,1924
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,Silver,BEAUREPAIRE,571,1908,1924
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,BEAUREPAIRE,571,1908,1924
9094,Francis Joseph Edmund Frank De Beaurepaire,0,16,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,BEAUREPAIRE,571,1908,1924
12448,Leslie Les Boardman,0,22,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,,BOARDMAN,778,1912,1912
12448,Leslie Les Boardman,0,22,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,BOARDMAN,778,1912,1912
19659,Malcolm Eadie Champion,0,28,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,,CHAMPION,1290,1912,1912
19659,Malcolm Eadie Champion,0,28,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",,CHAMPION,1290,1912,1912
19659,Malcolm Eadie Champion,0,28,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold,CHAMPION,1290,1912,1912
30777,Sarah Frances Fanny Durack Gately,1,22,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold,GATELY,2444,1912,1912
46006,Harold Hampton Hardwick,0,23,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,HARDWICK,2915,1912,1912
