ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal
9094,"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,16.0,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,
9094,"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,16.0,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 400 metres Freestyle,Silver
9094,"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,16.0,ANZ,1908 Summer,1908,Summer,London,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
9094,"Francis Joseph Edmund ""Frank"" De Beaurepaire",M,16.0,ANZ,1908 Summer,1908,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
12448,"Leslie ""Les"" Boardman",M,22.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,
12448,"Leslie ""Les"" Boardman",M,22.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
19659,Malcolm Eadie Champion,M,28.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,
19659,Malcolm Eadie Champion,M,28.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",
19659,Malcolm Eadie Champion,M,28.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
30777,"Sarah Frances ""Fanny"" Durack (-Gately)",F,22.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Gold
46006,Harold Hampton Hardwick,M,23.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,
46006,Harold Hampton Hardwick,M,23.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,Bronze
46006,Harold Hampton Hardwick,M,23.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
46006,Harold Hampton Hardwick,M,23.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
46968,Cecil Patrick Healy,M,30.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 100 metres Freestyle,Silver
46968,Cecil Patrick Healy,M,30.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 400 metres Freestyle,
46968,Cecil Patrick Healy,M,30.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
131941,"Wilhelmina ""Mina"" Wylie",F,20.0,ANZ,1912 Summer,1912,Summer,Stockholm,Swimming,Swimming Women's 100 metres Freestyle,Silver
7809,Georgina Bardach Martin,F,28.0,ARG,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Individual Medley,
7809,Georgina Bardach Martin,F,24.0,ARG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 200 metres Individual Medley,
7809,Georgina Bardach Martin,F,24.0,ARG,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Individual Medley,
7809,Georgina Bardach Martin,F,20.0,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Butterfly,
7809,Georgina Bardach Martin,F,20.0,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Individual Medley,
7809,Georgina Bardach Martin,F,20.0,ARG,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
7809,Georgina Bardach Martin,F,17.0,ARG,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,
17715,Jeannette Morven Campbell (-Peper),F,20.0,ARG,1936 Summer,1936,Summer,Berlin,Swimming,Swimming Women's 100 metres Freestyle,Silver
135260,Victoriano Alberto Zorrilla,M,22.0,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 100 metres Freestyle,
135260,Victoriano Alberto Zorrilla,M,22.0,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 400 metres Freestyle,Gold
135260,Victoriano Alberto Zorrilla,M,22.0,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,"Swimming Men's 1,500 metres Freestyle",
135260,Victoriano Alberto Zorrilla,M,22.0,ARG,1928 Summer,1928,Summer,Amsterdam,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
135260,Victoriano Alberto Zorrilla,M,18.0,ARG,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 100 metres Freestyle,
135260,Victoriano Alberto Zorrilla,M,18.0,ARG,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 400 metres Freestyle,
135260,Victoriano Alberto Zorrilla,M,18.0,ARG,1924 Summer,1924,Summer,Paris,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
465,"Matthew ""Matt"" Abood",M,30.0,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,
465,"Matthew ""Matt"" Abood",M,30.0,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
4145,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Butterfly,Bronze
4145,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
5158,Duncan John D'Arcy Armstrong,M,24.0,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
5158,Duncan John D'Arcy Armstrong,M,20.0,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,Gold
5158,Duncan John D'Arcy Armstrong,M,20.0,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,Silver
5158,Duncan John D'Arcy Armstrong,M,20.0,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,
5577,Jessica Ashwood,F,23.0,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,
5577,Jessica Ashwood,F,23.0,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,
