ID,Name,Sex,Age,NOC,Games,Year,Season,City,Sport,Event,Medal,Last_Name,Order,Start,End
64391,Jens Kruppa,0,24,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Breaststroke,,Kruppa,3390,2000,2004
64391,Jens Kruppa,0,24,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Individual Medley,,Kruppa,3390,2000,2004
64391,Jens Kruppa,0,24,GER,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Kruppa,3390,2000,2004
64690,Patrick Khl,0,24,GER,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 400 metres Individual Medley,,Khl,3130,1988,1992
64690,Patrick Khl,0,20,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Individual Medley,Silver,Khl,3130,1988,1992
64690,Patrick Khl,0,20,GER,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Individual Medley,,Khl,3130,1988,1992
64719,Frank Khne,0,18,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Khne,3133,1980,1980
64719,Frank Khne,0,18,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,Khne,3133,1980,1980
64719,Frank Khne,0,18,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 200 metres Freestyle,,Khne,3133,1980,1980
64719,Frank Khne,0,18,GER,1980 Summer,1980,Summer,Moskva,Swimming,Swimming Men's 100 metres Freestyle,,Khne,3133,1980,1980
65059,Ursula Kper Stille,1,26,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Women's 200 metres Breaststroke,,Stille,5978,1960,1964
65059,Ursula Kper Stille,1,22,GER,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze,Stille,5978,1960,1964
65073,ErnstJoachim Kppers,0,22,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver,Kppers,3349,1964,1964
65073,ErnstJoachim Kppers,0,22,GER,1964 Summer,1964,Summer,Tokyo,Swimming,Swimming Men's 200 metres Backstroke,,Kppers,3349,1964,1964
65226,Walter Kusch,0,22,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,,Kusch,3434,1972,1976
65226,Walter Kusch,0,22,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Breaststroke,,Kusch,3434,1972,1976
65226,Walter Kusch,0,22,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Kusch,3434,1972,1976
65226,Walter Kusch,0,18,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,Kusch,3434,1972,1976
65226,Walter Kusch,0,18,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Breaststroke,,Kusch,3434,1972,1976
65226,Walter Kusch,0,18,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 100 metres Breaststroke,,Kusch,3434,1972,1976
66241,Oliver Lampe,0,22,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze,Lampe,3482,1996,1996
66241,Oliver Lampe,0,22,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,,Lampe,3482,1996,1996
66241,Oliver Lampe,0,22,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,,Lampe,3482,1996,1996
66241,Oliver Lampe,0,22,GER,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,,Lampe,3482,1996,1996
66242,Werner Lampe,0,23,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,,Lampe,3482,1972,1976
66242,Werner Lampe,0,23,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Freestyle,,Lampe,3482,1972,1976
66242,Werner Lampe,0,23,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 400 metres Freestyle,,Lampe,3482,1972,1976
66242,Werner Lampe,0,19,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,,Lampe,3482,1972,1976
66242,Werner Lampe,0,19,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Lampe,3482,1972,1976
66242,Werner Lampe,0,19,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 400 metres Freestyle,,Lampe,3482,1972,1976
66242,Werner Lampe,0,19,GER,1972 Summer,1972,Summer,Munich,Swimming,Swimming Men's 200 metres Freestyle,Bronze,Lampe,3482,1972,1976
66402,Peter Lang,0,26,GER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 200 metres Breaststroke,,Lang,3492,1976,1984
66402,Peter Lang,0,26,GER,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Men's 100 metres Breaststroke,,Lang,3492,1976,1984
66402,Peter Lang,0,18,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 100 metres Breaststroke,,Lang,3492,1976,1984
66402,Peter Lang,0,18,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze,Lang,3492,1976,1984
66402,Peter Lang,0,18,GER,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Men's 200 metres Breaststroke,,Lang,3492,1976,1984
