ID,FirstYear,LastYear
6385,2016,2016
6391,1996,2004
6407,2012,2012
6425,1964,1968
6429,1976,1976
6430,1972,1976
6455,2004,2004
6478,2008,2008
6479,1956,1956
6484,2012,2012
6517,1972,1972
6552,1960,1960
6563,2012,2012
6573,1924,1924
6575,1952,1956
6591,1972,1972
6666,1984,1984
6675,1976,1976
6678,2012,2012
6685,2000,2000
6686,1996,1996
6725,1972,1972
6729,2012,2012
6739,2012,2016
6758,2008,2008
6769,1948,1948
6813,2008,2008
6831,1906,1906
6847,2012,2012
6861,1908,1912
6872,2008,2008
6877,1988,1992
6902,1972,1972
6916,1924,1924
6934,2008,2012
6935,1956,1956
6936,1996,1996
6947,1992,1992
6950,1972,1972
6958,1956,1956
6990,2000,2000
6991,1996,2004
6992,2004,2012
7001,1992,1992
7018,1976,1976
7020,2016,2016
7037,1908,1908
7083,2012,2012
7133,2016,2016
7134,1952,1956
7157,1924,1924
7166,2012,2012
7178,1920,1920
7179,1972,1976
7195,1988,1988
7215,2004,2004
7238,2012,2012
7251,2004,2008
7268,1936,1936
7278,1968,1968
7282,1968,1972
7296,1964,1968
7320,1964,1964
7321,1988,1996
7325,1972,1972
7333,1948,1948
7347,2008,2016
7354,2008,2016
7403,1988,1988
7474,2012,2012
7475,2016,2016
7500,1984,1984
7501,1992,1992
7510,2000,2000
7555,1928,1928
7566,1976,1976
7576,2000,2004
7608,2016,2016
7609,2012,2016
7618,2012,2012
7633,2004,2004
7641,1988,1988
7642,2004,2004
7676,1996,2008
7678,2008,2016
7684,1924,1932
7689,1968,1968
7707,2012,2016
7715,2016,2016
7726,1952,1952
7739,1956,1960
7751,1968,1968
7753,2012,2012
7754,1952,1952
7762,1960,1960
7768,2008,2012
7809,2000,2012
7810,2016,2016
7818,1948,1952
7821,2000,2000
7832,2000,2000
7841,1972,1976
7842,1968,1968
7854,1984,1984
7859,2000,2000
7887,1924,1924
7903,1968,1972
7928,1952,1952
7941,1976,1976
7945,2008,2008
7950,1952,1952
7959,1968,1968
7976,1964,1964
7997,2000,2004
8001,1952,1952
8005,1980,1984
8007,1924,1928
8021,1908,1912
8031,1988,1988
8047,1996,1996
8051,2008,2016
8089,1996,1996
8138,2000,2000
8142,1980,1980
8145,1956,1960
8155,1992,1992
8171,1988,1992
8178,2000,2000
8182,2008,2008
8202,2012,2012
8262,1924,1924
8311,2008,2012
8358,1960,1960
8363,1948,1948
8366,1972,1972
8387,1936,1936
8395,2004,2008
8397,1976,1976
8408,1948,1952
8411,1988,1992
8433,1952,1952
8498,2008,2012
8500,1972,1972
8517,1964,1964
8530,1984,1984
8549,2008,2012
8562,1996,2000
8564,1912,1912
8606,2016,2016
8632,1908,1912
8638,1988,1992
8661,2016,2016
8676,1900,1900
8688,1968,1968
8720,1924,1924
8749,1984,1984
8750,2016,2016
8777,1928,1928
8782,1984,1988
8803,2012,2016
8838,1920,1920
8839,2012,2012
8878,2016,2016
8891,1980,1980
8893,1984,1984
8920,1912,1912
8945,2016,2016
8966,1988,1988
8998,1936,1936
9000,2008,2008
9034,1996,2008
9044,1976,1980
9059,2008,2012
9085,1952,1952
9094,1908,1924
9095,1920,1920
9098,1972,1972
9099,2016,2016
9100,2004,2008
9116,1992,1992
9124,2000,2004
9128,2000,2008
9130,1992,2000
9131,1968,1976
9176,2016,2016
9216,1976,1976
9234,2008,2008
9241,1956,1960
9250,1972,1976
9264,1972,1972
9265,1988,2000
9291,2000,2000
9295,1928,1928
9386,2008,2008
9417,1984,1984
9431,1924,1924
9439,1972,1972
9442,1964,1964
9443,1992,1996
9455,1988,1992
9460,2008,2016
9461,1920,1920
9477,1984,1984
9513,1988,1988
9535,1952,1952
9587,1912,1912
9609,1964,1968
9615,2000,2000
9631,2008,2012
9645,1964,1968
9662,1992,1992
9674,2004,2004
9675,1972,1976
9717,1968,1972
9732,1976,1976
9743,1964,1964
9744,1960,1964
9750,2008,2016
9770,1972,1976
9772,1984,1984
9773,2008,2016
9791,1960,1960
9796,1996,2000
9814,1936,1936
9816,2008,2012
9911,2004,2004
9942,2004,2004
9961,1996,2000
9962,1968,1968
9983,1980,1980
10005,1960,1960
10006,1960,1964
10034,1908,1908
10035,1908,1908
10046,1948,1948
10055,1972,1972
10073,1960,1960
10078,1960,1960
10099,2008,2008
10108,1952,1952
10120,2012,2012
10136,2000,2004
10157,1960,1964
10160,1996,2000
10213,1984,1984
10217,2012,2016
10227,2008,2008
10230,1996,2000
10257,2016,2016
10277,1988,2000
10297,1996,1996
10318,1924,1924
10337,2008,2012
10350,2000,2012
10354,2004,2004
10356,1908,1908
10365,1964,1964
10371,2004,2004
10372,1920,1924
10444,1972,1980
10477,1928,1928
10485,1980,1984
10501,1968,1968
10503,2008,2008
10506,1952,1952
10510,1912,1912
10542,1912,1912
10553,1972,1972
10590,2000,2000
10592,1984,1984
10599,1972,1972
